2022-08-26 10:44:04,783 | INFO  | Listening for connections at: ssl://127.0.0.1:17446?maximumConnections=500&wireFormat.maxFrameSize=104857600&needClientAuth=true&transport.enabledCipherSuites=TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384&transport.enabledProtocols=TLSv1.2 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-08-26 10:44:04,783 | INFO  | Connector sslAuth started | org.apache.activemq.broker.TransportConnector | main
2022-08-26 10:44:04,799 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-52394-1661490839773-1:1) started | org.apache.activemq.broker.BrokerService | main
2022-08-26 10:44:04,799 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2022-08-26 10:44:09,440 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2022-08-26 10:44:12,158 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2022-09-12 15:17:05,503 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-52394-1661490839773-1:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-28
2022-09-12 15:17:05,503 | INFO  | Connector stomp+ssl stopped | org.apache.activemq.broker.TransportConnector | Thread-28
2022-09-12 15:17:05,565 | INFO  | Connector sslAuth stopped | org.apache.activemq.broker.TransportConnector | Thread-28
2022-09-12 15:17:05,956 | INFO  | JobSchedulerStore: E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\scheduler stopped. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | Thread-28
2022-09-12 15:17:05,972 | INFO  | Broker Plugin org.apache.activemq.broker.util.RedeliveryPlugin stopped | org.apache.activemq.broker.BrokerPluginSupport | Thread-28
2022-09-12 15:17:05,972 | INFO  | PListStore:[E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-28
2022-09-12 15:17:05,972 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-28
2022-09-12 15:17:05,972 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-28
2022-09-12 15:17:05,972 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-28
2022-09-12 15:17:06,003 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-52394-1661490839773-1:1) uptime 17 days 4 hours | org.apache.activemq.broker.BrokerService | Thread-28
2022-09-12 15:17:06,003 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-52394-1661490839773-1:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-28
